3.37013	1.51149e-09	  -0.584501 -0.00913569    0.811341	0.00141591
3.38093	0.0671774	  -0.584501 -0.00913569    0.811341	0.00141591
3.38284	0.113644	  -0.584501 -0.00913569    0.811341	0.00141591
3.37728	3.73137e-05	  -0.584501 -0.00913569    0.811341	0.00141591
3.37851	3.72991e-05	  -0.584501 -0.00913569    0.811341	0.00141591
3.38909	0.0759368	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.39474	0.0379373	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.3912	0.075911	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.38835	0.075837	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.38486	0.0379009	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.38697	0.0756853	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.3996	6.56353e-06	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.3961	0.0378462	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.39986	6.55204e-06	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.39684	1.31204e-05	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.39332	0.0616072	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.39743	1.31026e-05	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.39403	0.0380291	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.37235	1.70555e-15	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.37437	3.00507e-10	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.36872	8.54179e-16	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.38066	6.63863e-06	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.38252	1.32169e-05	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.3764	5.99767e-10	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.37852	6.6072e-06	  -0.99973 -0.0156257 -0.0172236	0.00141591
3.38913	3.73389e-05	 -0.584501 0.00913569   0.811341	0.00141591
3.39317	1.36326e-05	 -0.584501 0.00913569   0.811341	0.00141591
3.38493	0.11371	 -0.584501 0.00913569   0.811341	0.00141591
3.38678	0.0765013	 -0.584501 0.00913569   0.811341	0.00141591
3.39775	2.10602e-09	 -0.584501 0.00913569   0.811341	0.00141591
3.39981	1.04541e-13	 -0.584501 0.00913569   0.811341	0.00141591
3.39333	1.22142e-05	 -0.584501 0.00913569   0.811341	0.00141591
3.39544	3.57628e-09	 -0.584501 0.00913569   0.811341	0.00141591
3.37197	2.74514e-09	 -0.584501 0.00913569   0.811341	0.00141591
3.37776	3.75809e-05	 -0.584501 0.00913569   0.811341	0.00141591
3.3743	9.49691e-06	 -0.584501 0.00913569   0.811341	0.00141591
3.39321	1.87154e-05	   0.58578   0.810287 -0.0172236	0.00141591
3.38982	0.0398895	   0.58578   0.810287 -0.0172236	0.00141591
3.38693	0.113742	   0.58578   0.810287 -0.0172236	0.00141591
3.38348	0.0764181	   0.58578   0.810287 -0.0172236	0.00141591
3.38697	0.105314	   0.58578   0.810287 -0.0172236	0.00141591
3.40112	1.66716e-10	   0.58578   0.810287 -0.0172236	0.00141591
3.39767	3.98442e-10	   0.58578   0.810287 -0.0172236	0.00141591
3.39973	2.08492e-10	   0.58578   0.810287 -0.0172236	0.00141591
3.39354	1.82007e-05	   0.58578   0.810287 -0.0172236	0.00141591
3.39544	9.06623e-06	   0.58578   0.810287 -0.0172236	0.00141591
3.37198	2.1573e-10	   0.58578   0.810287 -0.0172236	0.00141591
3.37441	5.81756e-10	   0.58578   0.810287 -0.0172236	0.00141591
3.36808	1.7729e-15	   0.58578   0.810287 -0.0172236	0.00141591
3.37015	1.48816e-10	   0.58578   0.810287 -0.0172236	0.00141591
3.38413	0.0799947	   0.58578   0.810287 -0.0172236	0.00141591
3.38044	0.0294918	   0.58578   0.810287 -0.0172236	0.00141591
3.38308	0.0748814	   0.58578   0.810287 -0.0172236	0.00141591
3.37648	9.90579e-06	   0.58578   0.810287 -0.0172236	0.00141591
3.38056	0.0337007	   0.58578   0.810287 -0.0172236	0.00141591
3.37711	1.22138e-05	   0.58578   0.810287 -0.0172236	0.00141591
3.38913	3.70676e-05	  -0.584501 -0.00913569    0.811341	0.00141591
3.39317	1.35259e-05	  -0.584501 -0.00913569    0.811341	0.00141591
3.38493	0.11371	  -0.584501 -0.00913569    0.811341	0.00141591
3.38727	0.0672454	  -0.584501 -0.00913569    0.811341	0.00141591
3.39775	2.12018e-09	  -0.584501 -0.00913569    0.811341	0.00141591
3.39981	1.07994e-13	  -0.584501 -0.00913569    0.811341	0.00141591
3.39333	1.2127e-05	  -0.584501 -0.00913569    0.811341	0.00141591
3.39544	3.59881e-09	  -0.584501 -0.00913569    0.811341	0.00141591
3.37199	2.76136e-09	  -0.584501 -0.00913569    0.811341	0.00141591
3.37775	3.7308e-05	  -0.584501 -0.00913569    0.811341	0.00141591
3.3743	9.43865e-06	  -0.584501 -0.00913569    0.811341	0.00141591
3.36805	1.14017e-13	  -0.584501 -0.00913569    0.811341	0.00141591
3.36805	1.10376e-13	 -0.584501 0.00913569   0.811341	0.00141591
3.37013	1.5029e-09	 -0.584501 0.00913569   0.811341	0.00141591
3.38095	0.0671496	 -0.584501 0.00913569   0.811341	0.00141591
